OrderID;Customer ID;Product;Price;Amount;Sales;PaymethodID;DelcompID;Salesdate
433;565;86-Kodiak;229;13;2977;7;1;1-1-2025
1233;585;1-Aloe Relief;80;13;1040;4;1;1-1-2025
1423;341;108-Retro;112;29;3248;7;4;1-1-2025
2048;;53-Granite Axe;68;103;7004;2;4;1-1-2025
3496;78;84-Infinity;138;14;1932;1;1;1-1-2025
5052;535;51-Glacier GPS;84;9;756;7;4;1-1-2025
5492;588;46-Firefly Multi-light;260;94;24440;4;3;1-1-2025
7136;219;140-Trendi;201;4;804;6;3;1-1-2025
7752;423;13-BugShield Spray;200;57;11400;5;2;1-1-2025
7839;462;49-Glacier Basic;213;44;9372;2;4;1-1-2025
8435;101;81-Husky Rope 50;206;52;10712;3;3;1-1-2025
8536;352;86-Kodiak;229;18;4122;3;1;1-1-2025
9115;449;59-Granite Grip;175;63;11025;2;2;1-1-2025
10115;648;12-BugShield Natural;184;61;11224;1;4;1-1-2025
10386;519;4-Bear Edge;152;21;3192;3;2;1-1-2025
12448;522;30-Deluxe Family Relief Kit;182;39;7098;7;3;1-1-2025
12500;574;97-Mountain Man Deluxe;68;13;884;2;4;1-1-2025
12690;651;114-Single Edge;210;70;14700;2;1;1-1-2025
12719;434;126-Sun Shield;80;16;1280;5;2;1-1-2025
13193;38;94-Maximus;152;86;13072;1;4;1-1-2025
13576;118;13-BugShield Spray;200;13;2600;6;3;1-1-2025
15472;310;58-Granite Extreme;240;101;24240;2;1;1-1-2025
15526;322;79-Husky Rope 100;223;103;22969;6;3;1-1-2025
15982;495;67-Hailstorm Titanium Irons;205;77;15785;6;1;1-1-2025
16676;489;138-TrailChef Utensils;216;48;10368;1;1;1-1-2025
16790;295;44-Firefly Lite;159;65;10335;1;4;1-1-2025
17548;517;91-Legend;177;55;9735;4;3;1-1-2025
18852;563;89-Lady Hailstorm Titanium Irons;130;33;4290;1;2;1-1-2025
18947;16;141-TX;188;48;9024;4;4;1-1-2025
19360;442;31-Double Edge;124;35;4340;6;3;1-1-2025
21303;353;38-Fairway;77;72;5544;6;4;1-1-2025
21573;256;141-TX;188;86;16168;7;3;1-1-2025
